id,name,description,category,website,image_url,image_hint,is_verified,availability,keywords,related_task_ids,basic_offer,pro_offer
fin-1,Momentum Financial Planning,"Certified financial planners specializing in sudden income changes. Get help with budgeting, 401k rollovers, and investment strategies.",Finances,#,https://placehold.co/600x400.png,financial planning,true,"[""basic"",""pro""]","[""finance"",""401k"",""investment"",""budget"",""severance"",""taxes""]","[""create-transition-budget"",""understand-401k-options""]","",15% off your first consultation for Exitous members.
fin-2,Tax Advisors Inc.,"Navigate the complex tax implications of severance packages, stock options, and unemployment benefits with our expert CPAs.",Finances,#,https://placehold.co/600x400.png,tax document,false,"[""basic"",""pro""]","[""tax"",""cpa"",""severance"",""stock options"",""irs""]",[""consult-tax-advisor""],,
legal-1,Carter & Associates Legal Group,"Employment lawyers ready to review your severance agreement, discuss negotiation options, and ensure your rights are protected.",Legal,#,https://placehold.co/600x400.png,legal document,true,"[""basic"",""pro""]","[""legal"",""lawyer"",""severance agreement"",""negotiation"",""employment law""]",[""review-severance-agreement""],,
legal-2,Visa & Immigration Legal Services,"Specialized legal help for individuals on work visas. Understand your options and timelines to maintain your legal status in the U.S.",Legal,#,https://placehold.co/600x400.png,passport visa,false,"[""pro""]","[""visa"",""immigration"",""h1b"",""green card"",""ead""]",[""handle-work-visa-implications""],,
legal-3,Open Door Legal,"Affordable legal services for employment contract reviews. Offering flat-fee packages for severance agreement analysis.",Legal,#,https://placehold.co/600x400.png,law office,false,"[""basic""]","[""legal"",""lawyer"",""severance agreement"",""affordable""]",[""review-severance-agreement""],Free 15-minute initial assessment.,
job-1,CareerLeap Coaching,"Expert career coaches who provide personalized resume reviews, interview prep, and job search strategies to land your next role faster.",Career,#,https://placehold.co/600x400.png,career coaching,true,"[""basic"",""pro""]","[""job search"",""resume"",""interview prep"",""career coach"",""linkedin""]","[""update-resume-and-linkedin"",""practice-interviewing""]",,
job-2,Tech Recruiter Connect,"A specialized recruiting firm that connects talented tech professionals with innovative companies. Get insider access to top roles.",Career,#,https://placehold.co/600x400.png,tech recruitment,false,"[""pro""]","[""recruiter"",""tech job"",""software engineer"",""product manager""]",[""start-networking""],,
job-3,The Professional Network,"Build meaningful connections through curated networking events and workshops designed for professionals in transition.",Career,#,https://placehold.co/600x400.png,professional networking,false,"[""basic"",""pro""]","[""networking"",""connections"",""career events""]",[""start-networking""],,
well-1,Mindful Transitions Therapy,"Licensed therapists offering counseling services to help you process the emotional challenges of a job loss and build resilience.",Well-being,#,https://placehold.co/600x400.png,therapy session,false,"[""basic"",""pro""]","[""therapy"",""mental health"",""counseling"",""stress"",""anxiety"",""resilience""]",[""seek-emotional-support""],,
well-2,Thrive Health Insurance Brokers,"Navigate the complexities of finding new health coverage. Compare COBRA, ACA marketplace plans, and private options.",Well-being,#,https://placehold.co/600x400.png,health insurance,true,"[""basic"",""pro""]","[""healthcare"",""insurance"",""cobra"",""aca"",""benefits""]",[""explore-health-insurance-options""],,
